date,demand,unit_price,unit_cost,macro_multiplier,cycle_phase
2024-01-01,210.1,40.06,18.77,0.88,recovery
2024-01-02,246.9,40.47,18.26,0.8804,recovery
2024-01-03,234.7,40.68,18.14,0.8808,recovery
2024-01-04,165.9,40.63,18.26,0.8812,recovery
2024-01-05,143.5,39.23,18.93,0.8815,recovery
2024-01-06,166.2,40.16,18.78,0.8819,recovery
2024-01-07,190.0,40.86,18.64,0.8823,recovery
2024-01-08,196.3,41.35,18.35,0.8827,recovery
2024-01-09,254.2,40.54,18.56,0.8831,recovery
2024-01-10,223.4,40.78,18.78,0.8835,recovery
2024-01-11,209.4,42.15,18.97,0.8838,recovery
2024-01-12,158.6,40.11,18.69,0.8842,recovery
2024-01-13,142.2,41.32,19.25,0.8846,recovery
2024-01-14,209.1,41.23,18.78,0.885,recovery
2024-01-15,185.8,41.45,19.24,0.8854,recovery
2024-01-16,223.3,41.55,18.43,0.8858,recovery
2024-01-17,167.6,42.12,19.05,0.8862,recovery
2024-01-18,182.0,42.33,18.75,0.8865,recovery
2024-01-19,148.3,43.45,18.22,0.8869,recovery
2024-01-20,150.7,42.84,19.03,0.8873,recovery
2024-01-21,195.1,41.94,18.62,0.8877,recovery
2024-01-22,151.9,42.12,19.09,0.8881,recovery
2024-01-23,187.4,42.53,18.37,0.8885,recovery
2024-01-24,210.8,43.34,18.68,0.8888,recovery
2024-01-25,178.8,41.9,18.77,0.8892,recovery
2024-01-26,174.2,42.18,18.12,0.8896,recovery
2024-01-27,165.4,41.85,18.47,0.89,recovery
2024-01-28,185.2,42.5,18.69,0.8904,recovery
2024-01-29,178.9,41.18,18.21,0.8908,recovery
2024-01-30,149.4,41.88,18.21,0.8912,recovery
2024-01-31,148.0,41.07,18.62,0.8915,recovery
2024-02-01,148.5,41.8,19.17,0.8919,recovery
2024-02-02,132.8,41.98,18.05,0.8923,recovery
2024-02-03,153.5,41.29,18.35,0.8927,recovery
2024-02-04,113.7,41.28,17.95,0.8931,recovery
2024-02-05,160.5,41.86,18.57,0.8935,recovery
2024-02-06,138.7,41.13,17.89,0.8938,recovery
2024-02-07,131.1,41.35,18.09,0.8942,recovery
2024-02-08,169.3,40.82,18.35,0.8946,recovery
2024-02-09,123.6,40.35,17.63,0.895,recovery
2024-02-10,117.9,40.48,18.09,0.8954,recovery
2024-02-11,105.0,41.61,17.81,0.8958,recovery
2024-02-12,103.5,40.28,17.35,0.8962,recovery
2024-02-13,234.5,40.31,17.68,0.8965,recovery
2024-02-14,186.1,40.75,17.85,0.8969,recovery
2024-02-15,233.2,40.2,17.69,0.8973,recovery
2024-02-16,249.2,40.14,18.13,0.8977,recovery
2024-02-17,179.2,40.88,17.75,0.8981,recovery
2024-02-18,159.5,40.06,17.94,0.8985,recovery
2024-02-19,214.9,39.05,18.04,0.8988,recovery
2024-02-20,244.8,39.67,18.56,0.8992,recovery
2024-02-21,216.8,38.9,18.16,0.8996,recovery
2024-02-22,215.1,38.9,17.75,0.9,recovery
2024-02-23,238.1,39.49,18.5,0.9004,recovery
2024-02-24,223.3,38.87,18.1,0.9008,recovery
2024-02-25,211.8,38.58,18.19,0.9012,recovery
2024-02-26,185.1,38.34,17.79,0.9015,recovery
2024-02-27,224.5,38.6,18.12,0.9019,recovery
2024-02-28,251.5,38.3,18.33,0.9023,recovery
2024-02-29,214.2,38.84,17.83,0.9027,recovery
2024-03-01,186.5,38.38,18.25,0.9031,recovery
2024-03-02,172.9,38.13,18.42,0.9035,recovery
2024-03-03,180.6,39.7,18.24,0.9038,recovery
2024-03-04,195.7,38.27,18.95,0.9042,recovery
2024-03-05,218.5,37.71,19.07,0.9046,recovery
2024-03-06,279.3,37.42,18.2,0.905,recovery
2024-03-07,203.0,37.45,18.06,0.9054,recovery
2024-03-08,236.8,37.32,18.27,0.9058,recovery
2024-03-09,210.0,37.96,19.16,0.9062,recovery
2024-03-10,207.2,38.0,18.4,0.9065,recovery
2024-03-11,197.2,38.33,18.73,0.9069,recovery
2024-03-12,224.9,37.56,19.25,0.9073,recovery
2024-03-13,323.1,37.87,19.05,0.9077,recovery
2024-03-14,237.2,37.86,19.16,0.9081,recovery
2024-03-15,232.2,39.03,18.9,0.9085,recovery
2024-03-16,224.0,38.34,19.56,0.9088,recovery
2024-03-17,242.7,38.56,18.74,0.9092,recovery
2024-03-18,220.7,38.98,18.49,0.9096,recovery
2024-03-19,226.8,38.63,18.88,0.91,recovery
2024-03-20,250.4,38.58,19.7,0.9104,recovery
2024-03-21,232.4,38.5,19.29,0.9108,recovery
2024-03-22,248.0,38.68,18.7,0.9112,recovery
2024-03-23,216.0,38.92,18.25,0.9115,recovery
2024-03-24,223.2,38.94,18.73,0.9119,recovery
2024-03-25,239.9,39.07,18.82,0.9123,recovery
2024-03-26,302.4,40.27,18.81,0.9127,recovery
2024-03-27,241.1,38.78,18.53,0.9131,recovery
2024-03-28,232.4,38.56,18.21,0.9135,recovery
2024-03-29,258.9,39.91,18.3,0.9138,recovery
2024-03-30,213.6,40.55,18.54,0.9142,recovery
2024-03-31,233.8,39.87,18.79,0.9146,recovery
2024-04-01,218.7,40.56,18.63,0.915,recovery
2024-04-02,263.1,41.11,18.18,0.9154,recovery
2024-04-03,284.7,40.3,18.14,0.9158,recovery
2024-04-04,212.5,40.66,18.52,0.9162,recovery
2024-04-05,213.8,40.28,18.44,0.9165,recovery
2024-04-06,236.8,40.5,18.22,0.9169,recovery
2024-04-07,313.6,40.74,17.33,0.9173,recovery
2024-04-08,266.0,41.43,17.55,0.9177,recovery
2024-04-09,267.7,41.92,18.18,0.9181,recovery
2024-04-10,245.1,41.64,18.27,0.9185,recovery
2024-04-11,278.1,40.96,18.04,0.9188,recovery
2024-04-12,170.7,41.1,17.91,0.9192,recovery
2024-04-13,228.0,41.4,17.86,0.9196,recovery
2024-04-14,224.8,41.67,17.97,0.92,recovery
2024-04-15,238.4,42.03,17.4,0.9204,recovery
2024-04-16,384.1,41.06,17.64,0.9208,recovery
2024-04-17,200.6,41.34,18.04,0.9212,recovery
2024-04-18,269.9,42.81,17.79,0.9215,recovery
2024-04-19,251.5,42.19,17.84,0.9219,recovery
